OverallQual,GrLivArea,TotalBsmtSF,GarageArea,1stFlrSF,FullBath,TotRmsAbvGrd,YearRemodAdd,SalePrice,YearBuilt,CentralAir,Neighborhood,RoofMatl,HouseStyle,KitchenQual,SaleCondition,SaleType
7,1710,856,548,856,2,8,2003,208500,104,1,5,1,5,2,4,8
6,1262,1262,460,1262,2,6,1976,181500,77,1,24,1,2,3,4,8
7,1786,920,608,920,2,6,2002,223500,102,1,5,1,5,2,4,8
7,1717,756,642,961,1,7,1970,140000,19,1,6,1,5,2,0,8
8,2198,1145,836,1145,2,9,2000,250000,101,1,15,1,5,2,4,8
5,1362,796,480,796,1,5,1995,143000,94,1,11,1,0,3,4,8
8,1694,1686,636,1694,2,7,2005,307000,105,1,21,1,2,2,4,8
7,2090,1107,484,1107,2,7,1973,200000,74,1,14,1,5,3,4,8
7,1774,952,468,1022,2,8,1950,129900,35,1,17,1,0,3,0,8
5,1077,991,205,1077,1,5,1950,118000,42,1,3,1,1,3,4,8
5,1040,1040,384,1040,1,5,1965,129500,66,1,19,1,2,3,4,8
9,2324,1175,736,1182,3,11,2006,345000,106,1,16,1,5,0,5,6
5,912,912,352,912,1,4,1962,144000,63,1,19,1,2,3,4,8
7,1494,1494,840,1494,2,7,2007,279500,107,1,5,1,2,2,5,6
6,1253,1253,352,1253,1,5,1960,157000,61,1,12,1,2,3,4,8
7,854,832,576,854,1,5,2001,132000,33,1,3,1,1,3,4,8
6,1004,1004,480,1004,1,5,1970,149000,71,1,12,1,2,3,4,8
4,1296,0,516,1296,2,6,1967,90000,68,1,19,1,2,3,4,8
5,1114,1114,576,1114,1,6,2004,159000,105,1,20,1,2,2,4,8
5,1339,1029,294,1339,1,6,1965,139000,59,1,12,1,2,3,0,0
8,2376,1158,853,1158,3,9,2006,325300,106,1,16,1,5,2,5,6
7,1108,637,280,1108,1,6,1950,139400,34,1,9,1,1,2,4,8
8,1795,1777,534,1795,2,7,2002,230000,103,1,5,1,2,2,4,8
5,1060,1040,572,1060,1,6,1976,129900,77,1,10,1,2,3,4,8
